 STATE LISTING OF AQU MEM  
  POS         ADDR    DATA   WE  OP       CE     
 0493     7B      F    0   0        0111110 1111                              
 0494     7A      F    0   0        0111110 1111                              
 0495     79      F    0   0        0111110 1111                              
 0496     78      F    0   0        0111110 1111                              
 0497     77      8    0   0        0111110 1111                              
 0498     76      3    0   0        0111110 1111                              
 0499     75      0    0   0        0111110 1111                              
 0500     74      4    0   0        0111110 1111                              
 0501     73      1    0   0        0111110 1111                              
 0502     7C      0    0   0        1111110 1111                              
 0503     7B      0    0   0        1111110 1111                              
 0504     7A      0    0   0        1111110 1111                              
 0505     79      0    0   0        1111110 1111                              
 0506     78      0    0   0        1111110 1111                              
 0507     77      5    0   0        1111110 1111                              
 0508     76      4    0   0        1111110 1111                              
 0509     75      4    0   0        1111110 1111                              
 0510     74      4    0   0        1111110 1111                              
 0511     73      5    0   0        1111110 1111                              
 0512     7C      F    1   0        0111101 1111                              
 0513     7B      F    1   0        0111101 1111                              
 0514     7A      F    1   0        0111101 1111                              
 0515     79      F    1   0        0111101 1111                              
 0516     78      F    1   0        0111101 1111                              
 0517     77      8    1   0        0111101 1111                              
 0518     76      3    1   0        0111101 1111                              
 0519     75      0    1   0        0111101 1111                              
 0520     74      4    1   0        0111101 1111                              
 0521     73      1    1   0        0111101 1111                              
 0522     7E      0    1   0        0111101 1111                              
 0523     7D      0    1   0        0111101 1111                              
 0524     7C      0    1   0        0111101 1111                              
 0525     7B      0    1   0        0111101 1111                              
 0526     7A      0    1   0        0111101 1111                              
 0527     79      8    1   0        0111101 1111                              
 0528     78      0    1   0        0111101 1111                              
 0529     77      5    1   0        0111101 1111                              
 0530     76      4    1   0        0111101 1111                              
 0531     75      4    1   0        0111101 1111                              
 0532     74      4    1   0        0111101 1111                              
 0533     73      5    1   0        1111101 1111                              
 0534     7C      F    0   0        1111110 1111                              
 0535     7B      F    0   0        1111110 1111                              
 0536     7A      F    0   0        1111110 1111                              
 0537     79      F    0   0        1111110 1111                              
 0538     78      F    0   0        1111110 1111                              
 0539     77      F    0   0        1111110 1111                              
 0540     76      F    0   0        1111110 1111                              
 0541     75      F    0   0        1111110 1111                              
 0542     74      F    0   0        1111110 1111                              
 0543     73      F    0   0        1111110 1111                              
 0544     7E      0    0   0        0111110 1111                              
 0545     7D      0    0   0        0111110 1111                              
 0546     7C      0    0   0        0111110 1111                              
 0547     7B      0    0   0        0111110 1111                              
 0548     7A      0    0   0        0111110 1111                              
 0549     79      0    0   0        0111110 1111                              
 0550     78      0    0   0        0111110 1111                              
 0551     77      0    0   0        0111110 1111                              
 0552     76      0    0   0        0111110 1111                              
 0553     75      8    0   0        0111110 1111                              
 0554     74      0    0   0        0111110 1111                              
 0555     73      0    0   0        0111110 1111                              
 0556     7C      F    0   0        1111110 1111                              
 0557     7B      F    0   0        1111110 1111                              
 0558     7A      F    0   0        1111110 1111                              
 0559     79      F    0   0        1111110 1111                              
 0560     78      F    0   0        1111110 1111                              
 0561     77      8    0   0        1111110 1111                              
 0562     76      3    0   0        1111110 1111                              
 0563     75      0    0   0        1111110 1111                              
 0564     74      4    0   0        0111110 1111                              
 0565     73      1    0   0        0111110 1111                              
 0566     7C      0    0   0        0111110 1111                              
 0567     7B      0    0   0        0111110 1111                              
 0568     7A      0    0   0        0111110 1111                              
 0569     79      0    0   0        0111110 1111                              
 0570     78      0    0   0        0111110 1111                              
 0571     77      5    0   0        0111110 1111                              
 0572     76      4    0   0        0111110 1111                              
 0573     75      4    0   0        0111110 1111                              
 0574     74      4    0   0        0111110 1111                              
 0575     73      5    0   0        0111110 1111                              
 0576     7C      F    1   0        1111101 1111                              
 0577     7B      F    1   0        1111101 1111                              
 0578     7A      F    1   0        1111101 1111                              
 0579     79      F    1   0        1111101 1111                              
 0580     78      F    1   0        1111101 1111                              
 0581     77      8    1   0        1111101 1111                              
 0582     76      0    1   0        1111101 1111                              
 0583     76      3    1   0        1111101 1111                              
 0584     75      0    1   0        1111101 1111                              
 0585     74      4    1   0        1111101 1111                              
 0586     73      1    1   0        1111101 1111                              
 0587     7E      0    1   0        1111101 1111                              
 0588     7D      0    1   0        1111101 1111                              
 0589     7C      0    1   0        1111101 1111                              
 0590     7B      0    1   0        1111101 1111                              
 0591     7A      0    1   0        1111101 1111                              
 0592     79      8    1   0        0111101 1111                              
 0593     78      0    1   0        0111101 1111                              
 0594     77      5    1   0        0111101 1111                              
 0595     76      4    1   0        0111101 1111                              
 0596     75      4    1   0        0111101 1111                              
 0597     74      4    1   0        0111101 1111                              
 0598     73      5    1   0        0111101 1111                              
 0599     7C      F    0   0        0111110 1111                              
 0600     7B      F    0   0        0111110 1111                              
 0601     7A      F    0   0        0111110 1111                              
 0602     79      F    0   0        0111110 1111                              
 0603     78      F    0   0        0111110 1111                              
 0604     77      F    0   0        0111110 1111                              
 0605     76      F    0   0        0111110 1111                              
 0606     75      F    0   0        0111110 1111                              
 0607     74      F    0   0        0111110 1111                              
 0608     73      F    0   0        0111110 1111                              
 0609     7E      0    0   0        1111110 1111                              
 0610     7D      0    0   0        1111110 1111                              
 0611     7C      0    0   0        1111110 1111                              
 0612     7B      0    0   0        1111110 1111                              
 0613     7A      0    0   0        1111110 1111                              
 0614     79      0    0   0        1111110 1111                              
 0615     78      0    0   0        1111110 1111                              
 0616     77      0    0   0        1111110 1111                              
 0617     76      0    0   0        1111110 1111                              
 0618     75      8    0   0        1111110 1111                              
 0619     74      0    0   0        1111110 1111                              
 0620     73      0    0   0        1111110 1111                              
 0621     7C      F    0   0        0111110 1111                              
 0622     7B      F    0   0        0111110 1111                              
 0623     7A      F    0   0        1111110 1111                              
 0624     79      F    0   0        1111110 1111                              
 0625     78      F    0   0        1111110 1111                              
 0626     77      8    0   0        1111110 1111                              
 0627     76      3    0   0        1111110 1111                              
 0628     75      0    0   0        1111110 1111                              
 0629     74      4    0   0        1111110 1111                              
 0630     73      1    0   0        1111110 1111                              
 0631     7C      0    0   0        1111110 1111                              
 0632     7B      0    0   0        1111110 1111                              
 0633     7A      0    0   0        1111110 1111                              
 0634     79      4    0   0        1111110 1111                              
 0635     78      0    0   0        1111110 1111                              
 0636     77      5    0   0        1111110 1111                              
 0637     76      4    0   0        1111110 1111                              
 0638     75      4    0   0        1111110 1111                              
 0639     74      4    0   0        1111110 1111                              
 0640     73      5    0   0        1111110 1111                              
